Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Workflow 5: set sub task:create project 1,10,490,480,499,6.10,0.00%,7.1,5.51,790.0
Workflow 5: set sub task:set icon project 1,10,476,461,506,13.78,0.00%,7.2,5.04,717.0
Workflow 5: set sub task:add item project 1,10,477,459,502,12.13,0.00%,7.3,6.01,840.0
Workflow 5: set sub task:create project 2,10,495,477,509,9.18,0.00%,7.3,5.13,717.0
Workflow 5: set sub task:move project 2 to project 1,10,470,459,491,10.39,0.00%,7.4,5.23,720.0
Workflow 5: set sub task:create main item,10,473,462,491,8.44,0.00%,7.4,6.40,887.9
Workflow 5: set sub task:create sub item,50,480,459,912,62.22,0.00%,4.3,3.54,843.0
Workflow 5: set sub task:get project tasks,10,483,470,499,8.68,0.00%,5.7,20.28,3642.9
Workflow 5: set sub task:set sub task,60,471,456,550,14.44,0.00%,4.3,3.54,852.1
TOTAL,180,477,456,912,35.07,0.00%,4.1,3.93,980.1
